date,Case_Temperature,inputpower
2022-01-07 01:00:14,32.8,4.884
2022-01-07 01:00:15,32.8,4.884
2022-01-07 01:00:16,32.8,4.2146
2022-01-07 01:00:17,32.8,4.2146
2022-01-07 01:00:18,32.8,4.2146
2022-01-07 01:00:19,32.7,5.85
2022-01-07 01:00:20,32.7,5.85
2022-01-07 01:00:21,32.7,5.85
2022-01-07 01:00:22,32.8,6.1997
2022-01-07 01:00:23,32.8,6.1997
2022-01-07 01:00:24,32.8,6.1997
2022-01-07 01:00:25,32.8,3.9048
2022-01-07 01:00:26,32.8,3.9048
2022-01-07 01:00:27,32.8,3.9048
2022-01-07 01:00:28,32.8,4.543
2022-01-07 01:00:29,32.8,4.543
2022-01-07 01:00:30,32.8,4.543
2022-01-07 01:00:31,32.7,6.502
2022-01-07 01:00:32,32.7,6.502
2022-01-07 01:00:33,32.7,6.502
2022-01-07 01:00:34,32.9,6.528
2022-01-07 01:00:35,32.9,6.528
2022-01-07 01:00:36,32.9,6.528
2022-01-07 01:00:37,32.7,5.5318
2022-01-07 01:00:38,32.7,5.5318
2022-01-07 01:00:39,32.7,5.5318
2022-01-07 01:00:40,32.8,5.5097
2022-01-07 01:00:41,32.8,5.5097
2022-01-07 01:00:42,32.8,5.5097
2022-01-07 01:00:43,32.8,4.8825
2022-01-07 01:00:44,32.8,4.8825
2022-01-07 01:00:45,32.8,4.8825
2022-01-07 01:00:46,32.7,4.8945
2022-01-07 01:00:47,32.7,4.8945
2022-01-07 01:00:48,32.7,4.8945
2022-01-07 01:00:49,32.8,5.8608
2022-01-07 01:00:50,32.8,5.8608
2022-01-07 01:00:51,32.8,5.8608
2022-01-07 01:00:52,32.8,4.2146
2022-01-07 01:00:53,32.8,4.2146
2022-01-07 01:00:54,32.8,4.2146
2022-01-07 01:00:55,32.7,8.125
2022-01-07 01:00:56,32.7,8.125
2022-01-07 01:00:57,32.7,8.125
2022-01-07 01:00:58,32.8,6.8586
2022-01-07 01:00:59,32.8,6.8586
2022-01-07 01:01:00,32.8,6.8586
2022-01-07 01:01:01,32.9,4.564
2022-01-07 01:01:02,32.9,4.564
2022-01-07 01:01:03,32.9,4.564
2022-01-07 01:01:04,32.8,4.536
2022-01-07 01:01:05,32.8,4.536
2022-01-07 01:01:06,32.8,4.536
2022-01-07 01:01:07,32.9,2.9232
2022-01-07 01:01:08,32.9,2.9232
2022-01-07 01:01:09,32.9,2.9232
2022-01-07 01:01:10,32.8,5.8842
2022-01-07 01:01:11,32.8,5.8842
2022-01-07 01:01:12,32.8,5.8842
2022-01-07 01:01:13,32.9,3.9096
2022-01-07 01:01:14,32.9,3.9096
2022-01-07 01:01:15,32.9,3.9096
2022-01-07 01:01:16,32.9,5.508
2022-01-07 01:01:17,32.9,5.508
2022-01-07 01:01:18,32.9,5.508
2022-01-07 01:01:19,32.9,6.5
2022-01-07 01:01:20,32.9,6.5
2022-01-07 01:01:21,32.9,6.5
2022-01-07 01:01:22,32.9,6.5
2022-01-07 01:01:23,32.9,6.5
2022-01-07 01:01:24,32.9,6.5
2022-01-07 01:01:25,32.8,4.8825
2022-01-07 01:01:26,32.8,4.8825
2022-01-07 01:01:27,32.8,4.8825
2022-01-07 01:01:28,32.8,4.8825
2022-01-07 01:01:29,32.8,4.8825
2022-01-07 01:01:30,33.0,6.1788
2022-01-07 01:01:31,33.0,6.1788
2022-01-07 01:01:32,33.0,6.1788
2022-01-07 01:01:33,33.0,7.498
2022-01-07 01:01:34,33.0,7.498
2022-01-07 01:01:35,33.0,7.498
2022-01-07 01:01:36,32.8,5.2064
2022-01-07 01:01:37,32.8,5.2064
2022-01-07 01:01:38,33.0,3.5673
2022-01-07 01:01:39,33.0,3.5673
2022-01-07 01:01:40,32.7,3.575
2022-01-07 01:01:41,32.7,3.575
2022-01-07 01:01:42,32.9,4.2458
2022-01-07 01:01:43,32.9,4.2458
2022-01-07 01:01:44,33.1,4.5626
2022-01-07 01:01:45,33.1,4.5626
2022-01-07 01:01:46,32.9,4.8615
2022-01-07 01:01:47,32.9,4.8615
2022-01-07 01:01:48,33.0,5.208
2022-01-07 01:01:49,33.0,5.208
2022-01-07 01:01:50,33.0,5.208
2022-01-07 01:01:51,33.0,5.208
2022-01-07 01:01:52,33.0,5.208
2022-01-07 01:01:53,32.8,3.258
2022-01-07 01:01:54,32.8,3.258
2022-01-07 01:01:55,32.8,3.258
2022-01-07 01:01:56,33.0,4.8675
2022-01-07 01:01:57,33.0,4.8675
2022-01-07 01:01:58,33.0,4.8675
2022-01-07 01:01:59,32.9,4.225
2022-01-07 01:02:00,32.9,4.225
2022-01-07 01:02:01,32.9,4.225
2022-01-07 01:02:02,32.9,4.2107
2022-01-07 01:02:03,32.9,4.2107
2022-01-07 01:02:04,32.9,4.2107
2022-01-07 01:02:05,33.0,3.24
2022-01-07 01:02:06,33.0,3.24
2022-01-07 01:02:07,33.0,3.24
2022-01-07 01:02:08,32.9,4.2198
2022-01-07 01:02:09,32.9,4.2198
2022-01-07 01:02:10,32.9,4.2198
2022-01-07 01:02:11,33.1,7.1588
2022-01-07 01:02:12,33.1,7.1588
2022-01-07 01:02:13,33.1,7.1588
2022-01-07 01:02:14,33.0,7.1874
2022-01-07 01:02:15,33.0,7.1874
2022-01-07 01:02:16,33.0,7.1874
2022-01-07 01:02:17,32.9,4.5598
2022-01-07 01:02:18,32.9,4.5598
2022-01-07 01:02:19,32.9,4.5598
2022-01-07 01:02:20,33.0,3.888
2022-01-07 01:02:21,33.0,3.888
2022-01-07 01:02:22,33.0,3.888
2022-01-07 01:02:23,33.0,4.2315
